settlement_id,transaction_id,date,settled_amount,currency,settlement_status
SET001,TXN001,2026-08-02,2100,INR,settled
SET002,TXN002,2026-08-03,4500,INR,settled
SET003,TXN003,2026-08-04,9000,INR,settled
SET004,TXN004,2026-08-05,1750,INR,settled
SET005,TXN005,2026-08-06,3200,INR,settled
SET006,TXN007,2026-08-08,1250,INR,settled
SET007,TXN008,2026-08-09,2300,INR,settled
SET008,TXN009,2026-08-10,5600,INR,settled
SET009,TXN010,2026-08-11,850,INR,settled
SET010,TXN011,2026-08-12,2100,INR,settled
SET011,TXN012,2026-08-13,4450,INR,settled
SET012,TXN013,2026-08-14,9000,INR,settled
SET013,TXN014,2026-08-15,1750,INR,settled
SET014,TXN016,2026-08-17,7800,INR,settled
SET015,TXN017,2026-08-18,1250,INR,settled
SET016,TXN018,2026-08-19,2300,INR,pending
SET017,TXN019,2026-08-20,5600,INR,settled
SET018,TXN020,2026-08-21,850,INR,settled
SET019,TXN021,2026-08-22,2100,INR,settled
SET020,TXN023,2026-08-24,9000,INR,settled
SET021,TXN024,2026-08-25,1750,INR,settled
SET022,TXN025,2026-08-26,3200,INR,settled
SET023,TXN026,2026-08-27,7750,INR,settled
SET024,TXN027,2026-08-28,1250,INR,settled
SET025,TXN028,2026-08-29,2300,INR,settled
SET026,TXN029,2026-08-30,5600,INR,settled
SET027,TXN030,2026-08-31,850,INR,settled
SET028,TXN032,2026-08-03,4500,INR,settled
SET029,TXN033,2026-08-04,9000,INR,settled
SET030,TXN034,2026-08-05,1750,INR,pending
SET031,TXN035,2026-08-06,3200,INR,settled
SET032,TXN036,2026-08-07,7800,INR,settled
SET033,TXN037,2026-08-08,1250,INR,settled
SET034,TXN038,2026-08-09,2250,INR,settled
SET035,TXN039,2026-08-10,5600,INR,settled
SET036,TXN040,2026-08-11,850,INR,settled
SET037,TXN041,2026-08-12,2100,INR,settled
SET038,TXN042,2026-08-13,4500,INR,settled
SET039,TXN044,2026-08-15,1750,INR,settled
SET040,TXN045,2026-08-16,3200,INR,settled
SET041,TXN046,2026-08-17,7800,INR,settled
SET042,TXN048,2026-08-19,2300,INR,settled
SET043,TXN049,2026-08-20,5550,INR,settled
SET044,TXN050,2026-08-21,850,INR,settled
SET045,TXN051,2026-08-22,2100,INR,settled
SET046,TXN052,2026-08-23,4500,INR,settled
SET047,TXN054,2026-08-25,1750,INR,settled
SET048,TXN055,2026-08-26,3200,INR,settled
SET049,TXN056,2026-08-27,7800,INR,settled
SET050,TXN057,2026-08-28,1250,INR,pending
SET051,TXN058,2026-08-29,2300,INR,settled
SET052,TXN059,2026-08-30,5600,INR,settled
