transaction_id,date,amount,currency,status,merchant
TXN001,2026-08-01,2100,INR,success,Merchant_A
TXN002,2026-08-02,4500,INR,success,Merchant_B
TXN003,2026-08-03,9000,INR,failed,Merchant_C
TXN004,2026-08-04,1750,INR,success,Merchant_D
TXN005,2026-08-05,3200,INR,success,Merchant_A
TXN006,2026-08-06,7800,INR,success,Merchant_B
TXN007,2026-08-07,1250,INR,success,Merchant_C
TXN008,2026-08-08,2300,INR,success,Merchant_D
TXN009,2026-08-09,5600,INR,failed,Merchant_A
TXN010,2026-08-10,850,INR,success,Merchant_B
TXN011,2026-08-11,2100,INR,success,Merchant_C
TXN012,2026-08-12,4500,INR,success,Merchant_D
TXN013,2026-08-13,9000,INR,success,Merchant_A
TXN014,2026-08-14,1750,INR,success,Merchant_B
TXN015,2026-08-15,3200,INR,success,Merchant_C
TXN016,2026-08-16,7800,INR,success,Merchant_D
TXN017,2026-08-17,1250,INR,failed,Merchant_A
TXN018,2026-08-18,2300,INR,success,Merchant_B
TXN019,2026-08-19,5600,INR,success,Merchant_C
TXN020,2026-08-20,850,INR,success,Merchant_D
TXN021,2026-08-21,2100,INR,success,Merchant_A
TXN022,2026-08-22,4500,INR,success,Merchant_B
TXN023,2026-08-23,9000,INR,success,Merchant_C
TXN024,2026-08-24,1750,INR,success,Merchant_D
TXN025,2026-08-25,3200,INR,success,Merchant_A
TXN026,2026-08-26,7800,INR,success,Merchant_B
TXN027,2026-08-27,1250,INR,success,Merchant_C
TXN028,2026-08-28,2300,INR,failed,Merchant_D
TXN029,2026-08-29,5600,INR,success,Merchant_A
TXN030,2026-08-30,850,INR,success,Merchant_B
TXN031,2026-08-01,2100,INR,success,Merchant_C
TXN032,2026-08-02,4500,INR,success,Merchant_D
TXN033,2026-08-03,9000,INR,success,Merchant_A
TXN034,2026-08-04,1750,INR,success,Merchant_B
TXN035,2026-08-05,3200,INR,success,Merchant_C
TXN036,2026-08-06,7800,INR,success,Merchant_D
TXN037,2026-08-07,1250,INR,success,Merchant_A
TXN038,2026-08-08,2300,INR,success,Merchant_B
TXN039,2026-08-09,5600,INR,success,Merchant_C
TXN040,2026-08-10,850,INR,success,Merchant_D
TXN041,2026-08-11,2100,INR,failed,Merchant_A
TXN042,2026-08-12,4500,INR,success,Merchant_B
TXN043,2026-08-13,9000,INR,success,Merchant_C
TXN044,2026-08-14,1750,INR,success,Merchant_D
TXN045,2026-08-15,3200,INR,success,Merchant_A
TXN046,2026-08-16,7800,INR,success,Merchant_B
TXN047,2026-08-17,1250,INR,success,Merchant_C
TXN048,2026-08-18,2300,INR,success,Merchant_D
TXN049,2026-08-19,5600,INR,success,Merchant_A
TXN050,2026-08-20,850,INR,success,Merchant_B
TXN051,2026-08-21,2100,INR,success,Merchant_C
TXN052,2026-08-22,4500,INR,success,Merchant_D
TXN053,2026-08-23,9000,INR,success,Merchant_A
TXN054,2026-08-24,1750,INR,success,Merchant_B
TXN055,2026-08-25,3200,INR,failed,Merchant_C
TXN056,2026-08-26,7800,INR,success,Merchant_D
TXN057,2026-08-27,1250,INR,success,Merchant_A
TXN058,2026-08-28,2300,INR,success,Merchant_B
TXN059,2026-08-29,5600,INR,success,Merchant_C
TXN060,2026-08-30,850,INR,success,Merchant_D
